Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.513058360875689,-0.117717976987648,0.356205769731144,0,0,0,15.72484623513,1.08796670365496,-0.0136266724932048,-2.40927967886263E-05,1.70753131675544,-3.25212662415233E-06,0.807688361226205,0,0,0,0,0,0,package://mob_manip/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mob_manip/meshes/base_link.STL,,base-1;base1-1;Wheel rod-1;Wheel rod-3;Wheel rod-4;Wheel rod-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
w1,2.77555756156289E-17,0,-0.0375,0,0,0,0.801459555838926,0.0012625171681338,2.71050543121376E-20,-1.57178524730168E-21,0.0012625171681338,-5.11354914277531E-21,0.00223754179292522,0,0,0,0,0,0,package://mob_manip/meshes/w1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mob_manip/meshes/w1.STL,,wheel-4,Origin_l1,Axis_l1,l1,continuous,0.88574,0.03129,-0.195,1.5708,-1.2577,0,base_link,0,0,1,,,,,,,,,,,,
w2,0,0,-0.0375,0,0,0,0.801459555838926,0.00126251716813379,1.35525271560688E-19,1.51573800403417E-20,0.0012625171681338,-8.83569894135245E-21,0.00223754179292522,0,0,0,0,0,0,package://mob_manip/meshes/w2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mob_manip/meshes/w2.STL,,wheel-2,Origin_l2,Axis_l2,l2,continuous,0.12574,0.03129,-0.17,1.5708,1.1431,0,base_link,0,0,1,,,,,,,,,,,,
w3,-1.1102E-16,-2.7756E-17,0.0375,0,0,0,0.80146,0.0012625,-2.7105E-20,1.1975E-21,0.0012625,-2.156E-22,0.0022375,0,0,0,0,0,0,package://mob_manip/meshes/w3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mob_manip/meshes/w3.STL,,wheel-1,Origin_r1,Axis_r1,r1,continuous,0.88574,-0.74371,-0.195,1.5708,0.18318,0,base_link,0,0,1,,,,,,,,,,,,
w4,0,0,0.0375,0,0,0,0.801459555838927,0.0012625171681338,-5.9292306307801E-21,3.43751316972066E-21,0.0012625171681338,-3.3244993051953E-22,0.00223754179292522,0,0,0,0,0,0,package://mob_manip/meshes/w4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mob_manip/meshes/w4.STL,,wheel-3,Origin_r2,Axis_r2,r2,continuous,0.12574,-0.74371,-0.17,1.5708,-0.011372,0,base_link,0,0,1,,,,,,,,,,,,
Link1,1.11022302462516E-16,0.05747068219005,-0.0129024755809186,0,0,0,0.221199667920846,0.000587681659431752,-1.21972744404619E-19,-1.79740391407363E-18,0.00117861748383056,8.04398901867666E-05,0.00114651902699794,0,0,0,0,0,0,package://mob_manip/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mob_manip/meshes/Link1.STL,,link1-3,Origin_j1,Axis_j1,j1,continuous,0.66574,-0.35621,0.005,1.5708,0,-1.6133,base_link,0,1,0,,,,,,,,,,,,
Link2,0.0034038,0.005382,-0.18905,0,0,0,0.15671,0.0023831,-4.1188E-08,1.4468E-06,0.0027923,6.6915E-05,0.00044373,0,0,0,0,0,0,package://mob_manip/meshes/Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mob_manip/meshes/Link2.STL,,link2-3,Origin_j2,Axis_j2,j2,revolute,0,0.085,-0.088586,0.87206,0,0,Link1,1,0,0,0,0,0,0,,,,,,,,
Link3,-9.26428305997318E-05,0.000750789555956623,-0.104832677638645,0,0,0,0.0436215921712802,0.000169717854371362,-3.57847474225765E-08,-3.62157682604577E-06,0.000229282201716468,-5.19226647774999E-07,6.54024268733061E-05,0,0,0,0,0,0,package://mob_manip/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mob_manip/meshes/Link3.STL,,link3-1,Origin_j3,Axis_j3,j3,revolute,0,0.010603,-0.37242,-0.54206,0,0,Link2,1,0,0,0,0,0,0,,,,,,,,
Link4,1.1102E-16,0.06315,0.003,0,0,0,0.026823,7.5437E-05,-3.3408E-20,-1.8127E-19,4.3404E-05,-2.8386E-19,3.6133E-05,0,0,0,0,0,0,package://mob_manip/meshes/Link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mob_manip/meshes/Link4.STL,,link4-2,Origin_j4,Axis_j4,j4,revolute,0,0,-0.18082,-1.5708,0.42088,-1.5708,Link3,0,0,1,0,0,0,0,,,,,,,,
Link5,0.0010625,0.070653,0.0028055,0,0,0,0.018749,2.3868E-05,-1.3939E-19,-2.5411E-21,5.2544E-07,1.1092E-20,2.3868E-05,0,0,0,0,0,0,package://mob_manip/meshes/Link5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mob_manip/meshes/Link5.STL,,Screwdriver-1,Origin_j5,Axis_j5,j5,revolute,0,0.01,0,0,-0.36203,0,Link4,0,1,0,0,0,0,0,,,,,,,,
